Location,Process,Technology,Family,PYield,PrimePass,PrimeFail,PrimeHandle,TotYield,TotPass,TotFail,TotHandle,AvgPASSTime
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-MIAMI22,MIAMI22_ROW,98.39,1.836,30,1.866,97.93,1.888,40,1.928,171
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-CANCUN5G23,CANCUN5G23_LATAM,97.31,578,16,594,96.26,618,24,642,137
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-PENANG5G23,PENANG5G23_LATAM,97.73,172,4,176,97.37,185,5,190,73
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-BANGKOK5G23,BANGKOK5G23_LATAM,89.66,26,3,29,75,30,10,40,171
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-LONDON23,LONDON23_ROW,80,4,1,5,72.73,16,6,22,436
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-MANAUS5G23,MANAUS5G23_APEM,100,4,,4,100,4,,4,374
MDB_Jaguariuna,T5GFR1BDTST,ANDROID-FRONTIER22,FRONTIER22_SUPER,100,3,,3,86.96,20,3,23,177
MDB_Jaguariuna,AIR_VENT,ANDROID-LONDON23,INLAY,99.17,714,6,720,99.17,718,6,724,25
MDB_Jaguariuna,BACKFLASH,ANDROID-BORAG22,BORAG22_LATAM,76.47,13,4,17,72.22,13,5,18,460
MDB_Jaguariuna,BACKFLASH,ANDROID-VENUS23,VENUS23_SUPER,90.91,10,1,11,91.67,11,1,12,515
MDB_Jaguariuna,BACKFLASH,ANDROID-PENANG5G23,PENANG5G23_LATAM,100,7,,7,100,7,,7,457
MDB_Jaguariuna,BACKFLASH,ANDROID-CANCUN23,CANCUN23_BRAZIL,100,3,,3,100,3,,3,275
MDB_Jaguariuna,BACKFLASH,ANDROID-MIAMI22,MIAMI22_ROW,100,2,,2,100,2,,2,417
MDB_Jaguariuna,BACKFLASH,ANDROID-JUNO23,JUNO23_ROW,100,1,,1,100,1,,1,382
MDB_Jaguariuna,BACKFLASH,ANDROID-LONDON23,LONDON23_ROW,0,,,,100,1,,1,470
MDB_Jaguariuna,BRDTEST,ANDROID-MIAMI22,MIAMI22_ROW,96.89,1.747,56,1.803,95.34,1.821,89,1.910,284
MDB_Jaguariuna,BRDTEST,ANDROID-BORAG22,BORAG22,98.49,589,9,598,97.02,652,20,672,127
MDB_Jaguariuna,BRDTEST,ANDROID-CANCUN5G23,CANCUN5G23_LATAM,97.45,573,15,588,96.27,826,32,858,205
MDB_Jaguariuna,BRDTEST,ANDROID-PENANG5G23,PENANG5G23_LATAM,98.60,212,3,215,97.01,227,7,234,157
MDB_Jaguariuna,BRDTEST,TABLET-PINE,PINE_WIFI,99.13,114,1,115,99.14,115,1,116,93
MDB_Jaguariuna,BRDTEST,ANDROID-BANGKOK5G23,BANGKOK5G23_LATAM,96.55,28,1,29,97.14,34,1,35,177
MDB_Jaguariuna,BRDTEST,ANDROID-CANCUN23,CANCUN23_BRAZIL,92,23,2,25,82.14,46,10,56,203
MDB_Jaguariuna,BRDTEST,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,73.33,11,4,15,84.62,22,4,26,187
MDB_Jaguariuna,BRDTEST,ANDROID-MANAUS5G23,MANAUS5G23_APEM,100,4,,4,100,4,,4,173
MDB_Jaguariuna,BRDTEST,ANDROID-LONDON23,LONDON23_ROW,100,3,,3,82.14,23,5,28,127
MDB_Jaguariuna,BRDTEST,ANDROID-FRONTIER22,FRONTIER22_SUPER,0,,,,100,2,,2,161
MDB_Jaguariuna,CAMERA_SOIS,ANDROID-LONDON23,LONDON23_ROW,100,1,,1,100,1,,1,226
MDB_Jaguariuna,CFC,ANDROID-BORAG22,BORAG22_LATAM,98.29,3.457,60,3.517,97.63,3.585,87,3.672,963
MDB_Jaguariuna,CFC,ANDROID-CANCUN23,CANCUN23_BRAZIL,99.68,3.434,11,3.445,99.68,3.447,11,3.458,637
MDB_Jaguariuna,CFC,ANDROID-PENANG5G23,PENANG5G23_LATAM,99.65,2.550,9,2.559,99.57,2.568,11,2.579,750
MDB_Jaguariuna,CFC,ANDROID-MIAMI22,MIAMI22_ROW,99.70,989,3,992,99.40,993,6,999,852
MDB_Jaguariuna,CFC,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,99.08,972,9,981,99.09,985,9,994,772
